0: d0, <-2($73), ->1($17)
7764: d799, <-18768($67), ->18767($89)
7765: d427, <-6486($77), ->6485($1)
7766: d427, <-14382($2), ->14381($81)
7767: d353, <-7572($101), ->7571($69)
7768: d353, <-22150($43), ->22149($65)
7769: d704, <-1914($66), ->1913($2)
7770: d704, <-12674($84), ->12673($26)
7771: d398, <-6578($95), ->6577($66)
7772: d398, <-776($4), ->775($71)
7773: d788, <-19154($8), ->19153($58)
7774: d788, <-14054($101), ->14053($8)
7775: d71, <-1454($41), ->1453($28)
7776: d71, <-14920($41), ->14919($75)
7777: d142, <-17524($89), ->17523($87)
7778: d142, <-11350($44), ->11349($93)
7779: d625, <-16236($80), ->16235($88)
7780: d625, <-22992($81), ->22991($61)
7781: d562, <-8226($96), ->8225($78)
7782: d562, <-20806($20), ->20805($33)
7783: d197, <-9322($26), ->9321($94)
7784: d197, <-5580($50), ->5579($70)
7785: d11, <-1384($47), ->1383($51)
7786: d11, <-4024($41), ->4023($82)
7787: d773, <-13276($99), ->13275($31)
7788: d773, <-25370($19), ->25369($87)
7789: d641, <-9844($100), ->9843($31)
7790: d641, <-17758($12), ->17757($83)
7791: d169, <-11460($54), ->11459($77)
7792: d169, <-1792($96), ->1791($16)
7793: d415, <-21036($22), ->21035($1)
7794: d415, <-8432($29), ->8431($86)
7795: d451, <-12426($35), ->12425($51)
7796: d451, <-17444($63), ->17443($38)
7797: d201, <-20188($36), ->20187($26)
7798: d201, <-22620($9), ->22619($35)
7799: d760, <-10768($30), ->10767($99)
7800: d760, <-23688($54), ->23687($98)
7801: d681, <-19434($31), ->19433($29)
7802: d681, <-24330($29), ->24329($84)
7803: d58, <-25394($49), ->25393($64)
7804: d58, <-20184($70), ->20183($73)
7805: d240, <-6036($54), ->6035($42)
7806: d240, <-14050($60), ->14049($58)
7807: d203, <-24748($65), ->24747($79)
7808: d203, <-20262($52), ->20261($1)
7809: d273, <-9404($47), ->9403($3)
7810: d273, <-24890($20), ->24889($23)
7811: d105, <-24140($36), ->24139($19)
7812: d105, <-6352($31), ->6351($68)
7813: d461, <-10268($88), ->10267($11)
7814: d461, <-18512($88), ->18511($35)
7815: d123, <-21560($26), ->21559($38)
7816: d123, <-12868($91), ->12867($8)
7817: d317, <-9836($52), ->9835($76)
7818: d317, <-24570($60), ->24569($42)
7819: d195, <-24830($27), ->24829($86)
7820: d195, <-3444($1), ->3443($18)
7821: d131, <-24898($18), ->24897($98)
7822: d131, <-2914($7), ->2913($70)
7823: d503, <-17946($80), ->17945($51)
7824: d503, <-2762($14), ->2761($1)
7825: d364, <-21492($34), ->21491($38)
7826: d364, <-8656($77), ->8655($83)
7827: d284, <-1976($42), ->1975($41)
7828: d284, <-18178($12), ->18177($75)
7829: d413, <-664($65), ->663($80)
7830: d413, <-9106($62), ->9105($1)
7831: d19, <-15410($42), ->15409($71)
7832: d19, <-2748($13), ->2747($10)
7833: d609, <-21626($27), ->21625($93)
7834: d609, <-12838($83), ->12837($80)
7835: d430, <-22084($85), ->22083($66)
7836: d430, <-18540($32), ->18539($42)
7837: d206, <-14418($98), ->14417($58)
7838: d206, <-25018($41), ->25017($97)
7839: d118, <-342($82), ->341($26)
7840: d118, <-23236($34), ->23235($41)
7841: d776, <-10632($36), ->10631($3)
7842: d776, <-21718($31), ->21717($60)
7843: d755, <-15894($62), ->15893($64)
7844: d755, <-5842($95), ->5841($40)
7845: d205, <-24454($95), ->24453($4)
7846: d205, <-18236($60), ->18235($39)
7847: d81, <-5892($31), ->5891($5)
7848: d81, <-2132($91), ->2131($76)
7849: d616, <-14438($30), ->14437($7)
7850: d616, <-8998($53), ->8997($83)
7851: d219, <-23488($92), ->23487($32)
7852: d219, <-5118($24), ->5117($78)
7853: d592, <-17948($84), ->17947($21)
7854: d592, <-9012($57), ->9011($37)
7855: d56, <-25180($14), ->25179($15)
7856: d56, <-9798($20), ->9797($92)
7857: d786, <-4568($73), ->4567($77)
7858: d786, <-10630($60), ->10629($93)
7859: d321, <-7574($49), ->7573($56)
7860: d321, <-4926($76), ->4925($97)
7861: d87, <-15180($34), ->15179($60)
7862: d87, <-20670($56), ->20669($63)
7863: d386, <-1644($57), ->1643($64)
7864: d386, <-9708($15), ->9707($79)
7865: d203, <-11812($58), ->11811($75)
7866: d203, <-22014($91), ->22013($16)
7867: d547, <-2598($97), ->2597($68)
7868: d547, <-3944($67), ->3943($74)
7869: d191, <-23022($31), ->23021($26)
7870: d191, <-3060($16), ->3059($51)
7871: d89, <-18954($53), ->18953($80)
7872: d89, <-12354($88), ->12353($30)
7873: d762, <-11298($69), ->11297($91)
7874: d762, <-16422($52), ->16421($58)
7875: d695, <-21320($63), ->21319($34)
7876: d695, <-21276($77), ->21275($85)
7877: d268, <-4474($61), ->4473($59)
7878: d268, <-24870($8), ->24869($19)
7879: d140, <-14506($58), ->14505($87)
7880: d140, <-15274($54), ->15273($78)
7881: d726, <-12458($40), ->12457($87)
7882: d726, <-13216($58), ->13215($95)
7883: d154, <-632($37), ->631($75)
7884: d154, <-23864($12), ->23863($70)
7885: d86, <-7204($82), ->7203($80)
7886: d86, <-426($65), ->425($32)
7887: d317, <-17714($72), ->17713($35)
7888: d317, <-4062($29), ->4061($100)
7889: d378, <-886($46), ->885($91)
7890: d378, <-17772($5), ->17771($44)
7891: d288, <-7954($94), ->7953($74)
7892: d288, <-25014($56), ->25013($98)
7893: d418, <-5636($20), ->5635($3)
7894: d418, <-736($62), ->735($15)
7895: d453, <-5922($17), ->5921($20)
7896: d453, <-4620($101), ->4619($60)
7897: d625, <-13010($53), ->13009($35)
7898: d625, <-15218($5), ->15217($97)
7899: d516, <-21404($92), ->21403($11)
7900: d516, <-18000($79), ->17999($53)
7901: d117, <-4392($101), ->4391($68)
7902: d117, <-21454($97), ->21453($37)
7903: d256, <-986($94), ->985($67)
7904: d256, <-6380($87), ->6379($90)
7905: d543, <-2136($13), ->2135($38)
7906: d543, <-19108($2), ->19107($56)
7907: d214, <-6502($72), ->6501($63)
7908: d214, <-16756($7), ->16755($9)
7909: d671, <-14558($21), ->14557($40)
7910: d671, <-22244($77), ->22243($83)
7911: d296, <-19968($82), ->19967($42)
7912: d296, <-1094($79), ->1093($67)
7913: d113, <-22772($73), ->22771($27)
7914: d113, <-7178($72), ->7177($16)
7915: d618, <-214($76), ->213($71)
7916: d618, <-7322($19), ->7321($48)
7917: d282, <-2056($41), ->2055($74)
7918: d282, <-6088($98), ->6087($14)
7919: d225, <-16222($13), ->16221($52)
7920: d225, <-3054($78), ->3053($62)
7921: d642, <-16928($84), ->16927($43)
7922: d642, <-10310($84), ->10309($85)
7923: d418, <-9044($90), ->9043($61)
7924: d418, <-9426($38), ->9425($13)
7925: d230, <-23406($68), ->23405($90)
7926: d230, <-20560($4), ->20559($11)
7927: d268, <-1964($69), ->1963($68)
7928: d268, <-12860($72), ->12859($4)
7929: d101, <-8332($42), ->8331($17)
7930: d101, <-22878($52), ->22877($45)
7931: d133, <-22100($29), ->22099($6)
7932: d133, <-6654($100), ->6653($91)
7933: d515, <-10910($62), ->10909($8)
7934: d515, <-13286($68), ->13285($43)
7935: d660, <-7582($25), ->7581($43)
7936: d660, <-7036($58), ->7035($82)
7937: d660, <-8684($45), ->8683($94)
7938: d660, <-7618($36), ->7617($86)
7939: d93, <-1958($80), ->1957($97)
7940: d93, <-8056($53), ->8055($13)
7941: d775, <-18116($83), ->18115($49)
7942: d775, <-24422($77), ->24421($36)
7943: d583, <-16232($62), ->16231($68)
7944: d583, <-5608($57), ->5607($5)
7945: d423, <-6656($88), ->6655($6)
7946: d423, <-24428($48), ->24427($64)
7947: d742, <-13070($83), ->13069($50)
7948: d742, <-18036($69), ->18035($13)
7949: d660, <-23322($4), ->23321($63)
7950: d660, <-22936($35), ->22935($5)
7951: d597, <-9202($12), ->9201($97)
7952: d597, <-18452($92), ->18451($13)
7953: d289, <-6640($84), ->6639($75)
7954: d289, <-9398($93), ->9397($43)
7955: d291, <-5248($13), ->5247($74)
7956: d291, <-23436($16), ->23435($33)
7957: d382, <-344($91), ->343($45)
7958: d382, <-18008($74), ->18007($15)
7959: d241, <-16600($18), ->16599($96)
7960: d241, <-18690($92), ->18689($7)
7961: d101, <-4486($40), ->4485($7)
7962: d101, <-22814($45), ->22813($66)
7963: d505, <-5748($13), ->5747($35)
7964: d505, <-19652($90), ->19651($86)
7965: d194, <-9698($79), ->9697($16)
7966: d194, <-2456($8), ->2455($83)
7967: d17, <-18846($81), ->18845($58)
7968: d17, <-4582($60), ->4581($14)
7969: d457, <-8606($90), ->8605($84)
7970: d457, <-4288($3), ->4287($2)
7971: d727, <-8934($54), ->8933($26)
7972: d727, <-19328($21), ->19327($79)
7973: d23, <-15864($8), ->15863($99)
7974: d23, <-23624($5), ->23623($45)
7975: d503, <-8170($78), ->8169($38)
7976: d503, <-4434($48), ->4433($80)
7977: d63, <-12896($79), ->12895($55)
7978: d63, <-2608($2), ->2607($81)
7979: d720, <-3020($27), ->3019($33)
7980: d720, <-22662($99), ->22661($96)
7981: d79, <-20872($70), ->20871($38)
7982: d79, <-22856($42), ->22855($86)
7983: d384, <-7198($99), ->7197($52)
7984: d384, <-18084($59), ->18083($40)
7985: d671, <-19204($8), ->19203($64)
7986: d671, <-422($83), ->421($74)
7987: d267, <-2926($89), ->2925($9)
7988: d267, <-10960($19), ->10959($96)
7989: d171, <-4354($7), ->4353($57)
7990: d171, <-19264($20), ->19263($97)
7991: d576, <-23940($4), ->23939($99)
7992: d576, <-12456($44), ->12455($98)
7993: d537, <-20206($79), ->20205($94)
7994: d537, <-922($86), ->921($57)
7995: d73, <-8240($41), ->8239($92)
7996: d73, <-23566($88), ->23565($14)
7997: d404, <-11236($84), ->11235($80)
7998: d404, <-9018($24), ->9017($81)
7999: d435, <-12964($38), ->12963($99)
8000: d435, <-4238($10), ->4237($91)
8001: d280, <-14380($57), ->14379($19)
8002: d280, <-23760($29), ->23759($13)
8003: d286, <-18774($40), ->18773($3)
8004: d286, <-9416($17), ->9415($15)
8005: d421, <-8538($40), ->8537($32)
8006: d421, <-14980($6), ->14979($91)
8007: d518, <-2254($7), ->2253($52)
8008: d518, <-22934($63), ->22933($33)
8009: d351, <-4546($74), ->4545($48)
8010: d351, <-21552($99), ->21551($88)
8011: d326, <-6042($85), ->6041($46)
8012: d326, <-21300($1), ->21299($67)
8013: d337, <-288($76), ->287($84)
8014: d337, <-18210($55), ->18209($61)
8015: d216, <-6224($93), ->6223($4)
8016: d216, <-21728($47), ->21727($50)
8017: d64, <-7360($35), ->7359($4)
8018: d64, <-410($14), ->409($47)
8019: d534, <-14464($50), ->14463($22)
8020: d534, <-6414($101), ->6413($29)
8021: d768, <-24756($50), ->24755($28)
8022: d768, <-8370($30), ->8369($58)
8023: d644, <-8304($75), ->8303($41)
8024: d644, <-17906($23), ->17905($93)
8025: d756, <-9090($50), ->9089($68)
8026: d756, <-11840($63), ->11839($3)
8027: d695, <-5264($50), ->5263($75)
8028: d695, <-22108($95), ->22107($27)
8029: d684, <-18214($79), ->18213($89)
8030: d684, <-16792($86), ->16791($34)
8031: d397, <-21348($44), ->21347($23)
8032: d397, <-25072($46), ->25071($53)
8033: d521, <-16320($15), ->16319($68)
8034: d521, <-570($97), ->569($52)
8035: d587, <-16526($23), ->16525($94)
8036: d587, <-502($57), ->501($22)
8037: d64, <-9686($1), ->9685($25)
8038: d64, <-12000($37), ->11999($63)
8039: d571, <-10772($29), ->10771($71)
8040: d571, <-10028($14), ->10027($86)
8041: d666, <-8286($73), ->8285($10)
8042: d666, <-22918($43), ->22917($93)
8043: d685, <-17372($17), ->17371($11)
8044: d685, <-8936($34), ->8935($73)
8045: d171, <-6940($20), ->6939($86)
8046: d171, <-7358($20), ->7357($67)
8047: d74, <-16294($94), ->16293($49)
8048: d74, <-21998($2), ->21997($66)
8049: d730, <-4184($23), ->4183($51)
8050: d730, <-5562($89), ->5561($99)
8051: d707, <-18896($32), ->18895($79)
8052: d707, <-9076($99), ->9075($16)
8053: d547, <-16308($88), ->16307($8)
8054: d547, <-11930($91), ->11929($82)
8055: d94, <-15596($15), ->15595($96)
8056: d94, <-6682($28), ->6681($84)
8057: d100, <-13900($16), ->13899($60)
8058: d100, <-25306($14), ->25305($24)
8059: d667, <-4518($81), ->4517($88)
8060: d667, <-21480($24), ->21479($9)
8061: d751, <-24902($38), ->24901($31)
8062: d751, <-23242($98), ->23241($79)
8063: d354, <-14140($28), ->14139($74)
8064: d354, <-1204($65), ->1203($21)
8065: d698, <-19424($75), ->19423($69)
8066: d698, <-10648($62), ->10647($34)
8067: d278, <-8298($45), ->8297($82)
8068: d278, <-8622($7), ->8621($96)
8069: d120, <-4870($67), ->4869($70)
8070: d120, <-3342($58), ->3341($28)
8071: d761, <-25248($21), ->25247($93)
8072: d761, <-18058($64), ->18057($31)
8073: d90, <-18474($39), ->18473($53)
8074: d90, <-18256($58), ->18255($33)
8075: d217, <-22128($60), ->22127($36)
8076: d217, <-3098($46), ->3097($90)
8077: d693, <-22320($81), ->22319($74)
8078: d693, <-16262($46), ->16261($83)
8079: d536, <-9330($92), ->9329($97)
8080: d536, <-17366($88), ->17365($95)
8081: d506, <-9940($69), ->9939($23)
8082: d506, <-22768($46), ->22767($18)
8083: d177, <-24816($92), ->24815($19)
8084: d177, <-15012($62), ->15011($42)
8085: d656, <-3150($59), ->3149($85)
8086: d656, <-478($4), ->477($50)
8087: d519, <-1258($40), ->1257($95)
8088: d519, <-22296($50), ->22295($34)
8089: d401, <-18854($32), ->18853($7)
8090: d401, <-15080($46), ->15079($72)
8091: d391, <-22096($87), ->22095($100)
8092: d391, <-9998($98), ->9997($77)
8093: d348, <-1864($99), ->1863($82)
8094: d348, <-6552($15), ->6551($16)
8095: d393, <-21168($97), ->21167($80)
8096: d393, <-22866($23), ->22865($44)
8097: d407, <-15876($81), ->15875($11)
8098: d407, <-22194($85), ->22193($12)
8099: d439, <-10770($64), ->10769($67)
8100: d439, <-18($45), ->17($66)
8101: d232, <-7686($77), ->7685($40)
8102: d232, <-25082($76), ->25081($42)
8103: d560, <-16482($23), ->16481($75)
8104: d560, <-4098($11), ->4097($59)
8105: d729, <-8258($23), ->8257($89)
8106: d729, <-18280($36), ->18279($72)
8107: d336, <-13710($40), ->13709($66)
8108: d336, <-13924($62), ->13923($61)
8109: d700, <-6562($42), ->6561($80)
8110: d700, <-16794($40), ->16793($32)
8111: d509, <-13854($84), ->13853($89)
8112: d509, <-18016($85), ->18015($37)
8113: d224, <-1926($26), ->1925($88)
8114: d224, <-21666($23), ->21665($13)
8115: d506, <-18590($59), ->18589($67)
8116: d506, <-9940($69), ->9939($23)
8117: d212, <-1262($32), ->1261($45)
8118: d212, <-12446($90), ->12445($39)
8119: d244, <-11770($42), ->11769($21)
8120: d244, <-1642($32), ->1641($60)
8121: d325, <-1728($25), ->1727($50)
8122: d325, <-8012($17), ->8011($67)
8123: d11, <-2452($48), ->2451($78)
8124: d11, <-20360($86), ->20359($59)
8125: d694, <-5766($86), ->5765($25)
8126: d694, <-19410($49), ->19409($93)
8127: d216, <-24064($79), ->24063($29)
8128: d216, <-544($54), ->543($22)
8129: d407, <-1230($70), ->1229($35)
8130: d407, <-19226($75), ->19225($68)
8131: d265, <-14392($69), ->14391($25)
8132: d265, <-6724($59), ->6723($30)
8133: d379, <-21216($74), ->21215($73)
8134: d379, <-18246($5), ->18245($67)
8135: d621, <-16486($22), ->16485($84)
8136: d621, <-7476($3), ->7475($39)
8137: d198, <-13916($84), ->13915($60)
8138: d198, <-24466($16), ->24465($64)
8139: d409, <-22864($5), ->22863($90)
8140: d409, <-14152($7), ->14151($82)
8141: d145, <-7474($16), ->7473($63)
8142: d145, <-12348($86), ->12347($89)
8143: d63, <-15568($64), ->15567($8)
8144: d63, <-6832($58), ->6831($24)
8145: d390, <-8672($65), ->8671($85)
8146: d390, <-20488($20), ->20487($17)
8147: d693, <-10386($92), ->10385($37)
8148: d693, <-6556($100), ->6555($84)
8149: d273, <-24890($20), ->24889($23)
8150: d273, <-19190($98), ->19189($53)
8151: d106, <-21092($1), ->21091($25)
8152: d106, <-17446($59), ->17445($89)
8153: d498, <-22734($63), ->22733($79)
8154: d498, <-8350($41), ->8349($10)
8155: d81, <-5872($94), ->5871($40)
8156: d81, <-2714($50), ->2713($67)
8157: d748, <-13796($56), ->13795($17)
8158: d748, <-21896($81), ->21895($19)
8159: d201, <-7660($26), ->7659($33)
8160: d201, <-22716($20), ->22715($2)
8161: d64, <-12520($80), ->12519($28)
8162: d64, <-24164($89), ->24163($25)
8163: d281, <-5216($88), ->5215($9)
8164: d281, <-23994($78), ->23993($58)
8165: d92, <-17938($73), ->17937($21)
8166: d92, <-23818($59), ->23817($13)
8167: d234, <-9690($70), ->9689($46)
8168: d234, <-12580($8), ->12579($96)
8169: d504, <-16506($54), ->16505($30)
8170: d504, <-7964($72), ->7963($93)
8171: d448, <-12618($44), ->12617($92)
8172: d448, <-21274($73), ->21273($70)
8173: d643, <-24478($22), ->24477($72)
8174: d643, <-10286($46), ->10285($54)
8175: d740, <-4848($69), ->4847($35)
8176: d740, <-18360($48), ->18359($35)
8177: d295, <-7912($71), ->7911($99)
8178: d295, <-21142($50), ->21141($75)
8179: d463, <-270($9), ->269($36)
8180: d463, <-18828($14), ->18827($62)
8181: d331, <-1758($16), ->1757($98)
8182: d331, <-16920($95), ->16919($6)
8183: d386, <-9708($15), ->9707($79)
8184: d386, <-2256($83), ->2255($48)
8185: d513, <-2666($61), ->2665($95)
8186: d513, <-12678($71), ->12677($26)
8187: d241, <-18572($47), ->18571($59)
8188: d241, <-19810($42), ->19809($87)
8189: d250, <-18470($28), ->18469($91)
8190: d250, <-12224($40), ->12223($43)
8191: d391, <-9998($98), ->9997($77)
8192: d391, <-352($53), ->351($72)
8193: d703, <-11052($4), ->11051($36)
8194: d703, <-21140($34), ->21139($6)
8195: d627, <-14242($85), ->14241($76)
8196: d627, <-22254($57), ->22253($49)
8197: d113, <-20808($86), ->20807($19)
8198: d113, <-10216($73), ->10215($42)
8199: d750, <-23296($31), ->23295($13)
8200: d750, <-8062($14), ->8061($96)
8201: d230, <-13792($89), ->13791($25)
8202: d230, <-19148($49), ->19147($27)
8203: d214, <-13784($65), ->13783($16)
8204: d214, <-608($62), ->607($97)
8205: d372, <-21056($35), ->21055($31)
8206: d372, <-10442($81), ->10441($77)
8207: d722, <-2872($72), ->2871($73)
8208: d722, <-10820($60), ->10819($30)
8209: d552, <-4360($75), ->4359($19)
8210: d552, <-7642($40), ->7641($31)
8211: d734, <-25466($24), ->25465($91)
8212: d734, <-16502($52), ->16501($30)
8213: d606, <-630($87), ->629($35)
8214: d606, <-13630($74), ->13629($47)
8215: d70, <-9496($81), ->9495($48)
8216: d70, <-22788($42), ->22787($66)
8217: d313, <-3156($31), ->3155($94)
8218: d313, <-24126($66), ->24125($76)
8219: d449, <-3746($59), ->3745($87)
8220: d449, <-22286($26), ->22285($78)
8221: d105, <-11404($5), ->11403($78)
8222: d105, <-788($34), ->787($22)
8223: d769, <-6728($51), ->6727($100)
8224: d769, <-2696($28), ->2695($93)
8225: d563, <-18252($101), ->18251($61)
8226: d563, <-20584($39), ->20583($11)
8227: d320, <-6330($1), ->6329($4)
8228: d320, <-16962($23), ->16961($39)
8229: d61, <-7072($86), ->7071($71)
8230: d61, <-8368($21), ->8367($29)
8231: d253, <-13162($93), ->13161($55)
8232: d253, <-11092($44), ->11091($98)
8233: d712, <-18136($62), ->18135($55)
8234: d712, <-17070($44), ->17069($19)
8235: d256, <-14454($22), ->14453($10)
8236: d256, <-6272($47), ->6271($61)
8237: d671, <-11280($84), ->11279($93)
8238: d671, <-17158($59), ->17157($84)
8239: d74, <-8652($18), ->8651($2)
8240: d74, <-16294($94), ->16293($49)
8241: d740, <-17010($32), ->17009($29)
8242: d740, <-19442($101), ->19441($5)
8243: d228, <-3964($42), ->3963($81)
8244: d228, <-6490($59), ->6489($94)
8245: d156, <-1994($94), ->1993($35)
8246: d156, <-16646($88), ->16645($52)
8247: d444, <-6776($70), ->6775($15)
8248: d444, <-12366($60), ->12365($58)
8249: d403, <-7998($9), ->7997($91)
8250: d403, <-18174($64), ->18173($2)
8251: d330, <-1140($28), ->1139($37)
8252: d330, <-7374($65), ->7373($80)
8253: d385, <-8184($90), ->8183($83)
8254: d385, <-5480($92), ->5479($30)
8255: d533, <-14466($53), ->14465($89)
8256: d533, <-5076($4), ->5075($15)
8257: d730, <-9486($3), ->9485($27)
8258: d730, <-20880($10), ->20879($29)
8259: d263, <-8674($58), ->8673($83)
8260: d263, <-5600($13), ->5599($65)
8261: d530, <-11254($86), ->11253($34)
8262: d530, <-12584($8), ->12583($73)
8263: d795, <-16254($75), ->16253($36)
8264: d795, <-22346($75), ->22345($51)
8265: d354, <-9732($58), ->9731($20)
8266: d354, <-14140($28), ->14139($74)
8267: d656, <-16200($93), ->16199($26)
8268: d656, <-13906($67), ->13905($99)
8269: d539, <-24744($84), ->24743($27)
8270: d539, <-18558($21), ->18557($74)
8271: d797, <-6874($96), ->6873($2)
8272: d797, <-25246($75), ->25245($39)
8273: d449, <-6482($49), ->6481($56)
8274: d449, <-22286($26), ->22285($78)
8275: d625, <-13010($53), ->13009($35)
8276: d625, <-4548($69), ->4547($47)
8277: d110, <-21924($97), ->21923($63)
8278: d110, <-14984($57), ->14983($80)
8279: d662, <-15906($82), ->15905($36)
8280: d662, <-20052($50), ->20051($48)
8281: d278, <-14818($8), ->14817($62)
8282: d278, <-3130($99), ->3129($42)
8283: d487, <-23314($86), ->23313($22)
8284: d487, <-10556($12), ->10555($29)
8285: d667, <-18946($53), ->18945($18)
8286: d667, <-11194($37), ->11193($23)
8287: d192, <-9656($58), ->9655($3)
8288: d192, <-19234($30), ->19233($18)
8289: d571, <-24266($71), ->24265($63)
8290: d571, <-10092($26), ->10091($16)
8291: d615, <-7850($92), ->7849($18)
8292: d615, <-22720($7), ->22719($70)
8293: d438, <-12328($11), ->12327($9)
8294: d438, <-24030($69), ->24029($12)
8295: d675, <-23444($40), ->23443($97)
8296: d675, <-9192($91), ->9191($53)
8297: d279, <-16632($57), ->16631($77)
8298: d279, <-15402($39), ->15401($21)
8299: d400, <-902($62), ->901($19)
8300: d400, <-16074($63), ->16073($60)
8301: d472, <-14258($70), ->14257($74)
8302: d472, <-8630($91), ->8629($75)
8303: d645, <-1128($63), ->1127($79)
8304: d645, <-17740($26), ->17739($48)
8305: d611, <-14648($89), ->14647($43)
8306: d611, <-24228($94), ->24227($84)
8307: d206, <-10008($70), ->10007($3)
8308: d206, <-22264($90), ->22263($55)
8309: d263, <-3468($36), ->3467($32)
8310: d263, <-2728($83), ->2727($14)
8311: d358, <-16180($96), ->16179($40)
8312: d358, <-6868($6), ->6867($47)
8313: d534, <-11116($47), ->11115($23)
8314: d534, <-17262($61), ->17261($78)
8315: d55, <-8812($3), ->8811($10)
8316: d55, <-7856($49), ->7855($82)
8317: d26, <-22562($73), ->22561($1)
8318: d26, <-4458($98), ->4457($19)
8319: d54, <-11632($83), ->11631($91)
8320: d54, <-2294($88), ->2293($53)
8321: d749, <-13296($19), ->13295($70)
8322: d749, <-5968($81), ->5967($26)
8323: d690, <-16958($50), ->16957($74)
8324: d690, <-16110($49), ->16109($5)
8325: d123, <-11366($90), ->11365($77)
8326: d123, <-17580($91), ->17579($42)
8327: d556, <-7150($19), ->7149($83)
8328: d556, <-14106($56), ->14105($91)
8329: d408, <-8140($90), ->8139($38)
8330: d408, <-24976($51), ->24975($3)
8331: d102, <-8712($1), ->8711($11)
8332: d102, <-11470($1), ->11469($37)
8333: d508, <-14786($53), ->14785($13)
8334: d508, <-17134($33), ->17133($83)
8335: d398, <-18388($86), ->18387($4)
8336: d398, <-312($6), ->311($65)
8337: d653, <-15594($14), ->15593($84)
8338: d653, <-1806($65), ->1805($48)
8339: d400, <-14976($72), ->14975($24)
8340: d400, <-7410($84), ->7409($65)
8341: d121, <-14034($16), ->14033($72)
8342: d121, <-3328($93), ->3327($26)
8343: d752, <-10806($65), ->10805($75)
8344: d752, <-24158($4), ->24157($18)
8345: d621, <-22302($5), ->22301($72)
8346: d621, <-15560($84), ->15559($6)
8347: d420, <-15344($64), ->15343($88)
8348: d420, <-8006($76), ->8005($85)
8349: d499, <-21086($53), ->21085($62)
8350: d499, <-9818($95), ->9817($36)
8351: d133, <-16280($100), ->16279($22)
8352: d133, <-21050($42), ->21049($5)
8353: d736, <-7008($55), ->7007($73)
8354: d736, <-13774($45), ->13773($69)
8355: d471, <-23964($100), ->23963($45)
8356: d471, <-17634($80), ->17633($74)
8357: d203, <-194($38), ->193($77)
8358: d203, <-8412($85), ->8411($66)
8359: d42, <-1506($40), ->1505($37)
8360: d42, <-4204($89), ->4203($17)
8361: d404, <-15360($45), ->15359($64)
8362: d404, <-2960($24), ->2959($100)
8363: d472, <-1330($75), ->1329($26)
8364: d472, <-7132($25), ->7131($45)
8365: d500, <-8504($64), ->8503($50)
8366: d500, <-1560($98), ->1559($35)
8367: d62, <-5862($51), ->5861($75)
8368: d62, <-8144($41), ->8143($40)
8369: d769, <-15460($97), ->15459($83)
8370: d769, <-6728($51), ->6727($100)
8371: d103, <-6140($57), ->6139($33)
8372: d103, <-12410($16), ->12409($91)
8373: d786, <-10630($60), ->10629($93)
8374: d786, <-16692($5), ->16691($62)
8375: d607, <-18952($12), ->18951($33)
8376: d607, <-11738($77), ->11737($85)
8377: d404, <-21676($71), ->21675($62)
8378: d404, <-9018($24), ->9017($81)
8379: d171, <-24538($40), ->24537($91)
8380: d171, <-22032($39), ->22031($53)
8381: d353, <-24074($79), ->24073($11)
8382: d353, <-6638($55), ->6637($38)
8383: d528, <-2372($18), ->2371($62)
8384: d528, <-5288($44), ->5287($73)
8385: d95, <-1620($24), ->1619($47)
8386: d95, <-5458($85), ->5457($31)
8387: d6, <-25360($8), ->25359($85)
8388: d6, <-12818($75), ->12817($95)
8389: d546, <-4380($69), ->4379($64)
8390: d546, <-12336($71), ->12335($22)
8391: d23, <-18350($66), ->18349($1)
8392: d23, <-15864($8), ->15863($99)
8393: d757, <-16550($67), ->16549($56)
8394: d757, <-2360($27), ->2359($24)
8395: d22, <-302($9), ->301($58)
8396: d22, <-12982($49), ->12981($59)
8397: d183, <-18646($62), ->18645($64)
8398: d183, <-4198($37), ->4197($17)
8399: d570, <-18510($72), ->18509($73)
8400: d570, <-20896($47), ->20895($34)
8401: d304, <-12266($29), ->12265($8)
8402: d304, <-20944($62), ->20943($39)
8403: d447, <-11250($77), ->11249($91)
8404: d447, <-16146($91), ->16145($34)
8405: d341, <-19152($1), ->19151($6)
8406: d341, <-20000($18), ->19999($68)
8407: d600, <-15692($65), ->15691($78)
8408: d600, <-20868($55), ->20867($5)
8409: d513, <-13150($73), ->13149($33)
8410: d513, <-20272($75), ->20271($22)
8411: d204, <-21436($44), ->21435($12)
8412: d204, <-7846($17), ->7845($23)
8413: d153, <-1124($16), ->1123($56)
8414: d153, <-8544($70), ->8543($46)
8415: d312, <-272($74), ->271($35)
8416: d312, <-8218($12), ->8217($84)
8417: d583, <-2260($53), ->2259($93)
8418: d583, <-7526($17), ->7525($64)
8419: d391, <-4284($49), ->4283($91)
8420: d391, <-17822($68), ->17821($69)
8421: d595, <-7428($4), ->7427($90)
8422: d595, <-1212($3), ->1211($31)
8423: d311, <-17044($52), ->17043($35)
8424: d311, <-14252($78), ->14251($13)
8425: d197, <-7258($89), ->7257($45)
8426: d197, <-7694($40), ->7693($88)
8427: d183, <-13302($65), ->13301($99)
8428: d183, <-4198($37), ->4197($17)
8429: d418, <-25404($57), ->25403($33)
8430: d418, <-7488($28), ->7487($96)
8431: d416, <-20718($62), ->20717($81)
